"time","Net.y"
0,0
0,0
0,0
80,-0.04040684350820908
160,0.03806360803725749
180,0.04216695177904891
180,0.04216695177904891
240,-0.001243218668939339
320,-0.01915204026048365
360,-0.01654242089089686
360,-0.01654242089089686
400,-0.007627822415181842
480,0.001415734239056344
540,0.002167837034429171
540,0.002167837034429171
560,0.001644593273433107
640,2.669585003415953e-05
720,-0.0002784363519783817
720,-0.0002784363519783817
800,0.0544971393749971
880,0.04190913548387255
900,0.03559078828911982
900,0.03559078828911982
960,0.01973626726983133
1040,0.007260514196051155
1080,0.004124269347289477
1080,0.004124269347289477
1120,-0.01846754396172106
1200,-0.0282747356419705
1260,-0.01926183205146012
1260,-0.01926183205146012
1280,-0.01534203922358366
1360,-0.00451975383229855
1440,-0.0008560736616746177
1440,-0.0008560736616746177
1520,-0.01477776192496095
1600,-0.01128314393293771
1620,-0.00958196869599977
1620,-0.00958196869599977
1680,-0.01790878167527242
1760,-0.01425207857187647
1800,-0.01024888280106621
1800,-0.01024888280106621
1840,0.02108683409378056
1920,0.03641860412812329
1980,0.02521577606296357
1980,0.02521577606296357
2000,0.02002806444419396
2080,0.005685243870218279
2160,0.0009488433972958238
2160,0.0009488433972958238
2240,-0.03119381050518745
2320,-0.02400056792132805
2340,-0.02037495935037785
2340,-0.02037495935037785
2400,0.0001177597918730683
2480,0.006988814466589456
2520,0.005922321009577215
2520,0.005922321009577215
2560,0.02636275905317888
2640,0.03248641584818369
2700,0.02149757433645556
2700,0.02149757433645556
2720,0.022672937312379
2800,0.01998089366288896
2880,0.01058827935426389
2880,0.01058827935426389
2960,-0.008680846654873413
3040,-0.008507580478792664
3060,-0.007371003171101508
3060,-0.007371003171101508
3120,-0.03554517481107492
3200,-0.03215007528016897
3240,-0.02361273700818373
3240,-0.02361273700818373
3280,0.0007841966768473626
3360,0.01735586717740047
3420,0.01321166677526893
3420,0.01321166677526893
3440,0.01516805788255989
3520,0.01518755661013332
3600,0.008280231625297797
3600,0.008280231625297797
3600.000000720032,0.008280231132160303
3600.000000720032,0.008280231132160303
3680,-0.07693421742537376
3760,0.008564745398310609
3780,0.01700402346597491
3780,0.01700402346597491
3840,-0.002152991204366655
3920,-0.01149945676796505
3960,-0.009945201498367156
3960,-0.009945201498367156
4000,-0.0004136268222427061
4080,0.006667289596715011
4140,0.005226442365319353
4140,0.005226442365319353
4160,0.01711160221799436
4240,0.03558830731894313
4320,0.02227709793459467
4320,0.02227709793459467
4400,0.003854526992660458
4480,-0.001107780623516202
4500,-0.00127678379054426
4500,-0.00127678379054426
4560,-0.008951269344708815
4640,-0.008157076963334463
4680,-0.005981677521993363
4680,-0.005981677521993363
4720,-0.01583457702954859
